Category;product;Date;Price per unit;Count;promocode
Масло;Масло подсолнечное;09.01.2022;157.0;14.0;Ма09ое10
Напитки;Напитки для здоровья;28.06.2022;94.0;8.0;На28ья60
Пищевые злаки;Мука;03.02.2022;295.0;25.0;Му03ка20
Фрукты и овощи;Свежие овощи;21.04.2022;112.0;10.0;Св21щи40
Пищевые злаки;Органические основные продукты;22.03.2022;295.0;25.0;Ор22ты30
Пищевые злаки;Органические основные продукты;29.04.2022;289.0;25.0;Ор29ты40
Фрукты и овощи;Свежие овощи;16.06.2022;104.0;9.0;Св16щи60
Фрукты и овощи;Свежие фрукты;26.05.2022;231.0;20.0;Св26ты50
Хлебобулочные изделия;Печенье;04.05.2022;99.0;9.0;Пе04ье50
Выпечка;Торты;11.01.2022;225.0;19.0;То11ты10
Закуски;Шоколадные конфеты;27.05.2022;238.0;20.0;Шо27ты50
Яйца, мясо и рыба;Яйца;18.04.2022;88.0;8.0;Яй18ца40
Закуски;Печенье;15.06.2022;208.0;18.0;Пе15ье60
Фрукты и овощи;Свежие овощи;29.01.2022;160.0;14.0;Св29щи10
Яйца, мясо и рыба;Курица;27.04.2022;104.0;9.0;Ку27ца40
Масло;Топленое масло;22.03.2022;180.0;15.0;То22ло30
Выпечка;Торты;17.04.2022;210.0;18.0;То17ты40
Напитки;Напитки для здоровья;04.05.2022;203.0;17.0;На04ья50
Яйца, мясо и рыба;Баранина;05.01.2022;220.0;19.0;Ба05на10
Напитки;Безалкогольные напитки;24.01.2022;87.0;8.0;Бе24ки10
Напитки;Напитки для здоровья;27.05.2022;66.0;6.0;На27ья50
Пищевые злаки;Крупы и бобовые;17.05.2022;119.0;10.0;Кр17ые50
Напитки;Безалкогольные напитки;16.02.2022;89.0;8.0;Бе16ки20
Фрукты и овощи;Органические овощи;26.01.2022;122.0;11.0;Ор26щи10
Яйца, мясо и рыба;Яйца;11.03.2022;138.0;12.0;Яй11ца30
Закуски;Шоколадные конфеты;10.06.2022;253.0;22.0;Шо10ты60
Закуски;Печенье;30.03.2022;68.0;6.0;Пе30ье30
Хлебобулочные изделия;Печенье;19.01.2022;123.0;11.0;Пе19ье10
Напитки;Прохладительные напитки;13.03.2022;249.0;21.0;Пр13ки30
Масло;Подсолнечное масло;24.01.2022;124.0;11.0;По24ло10
Напитки;Безалкогольные напитки;15.01.2022;231.0;20.0;Бе15ки10
Закуски;Лапша;09.05.2022;175.0;15.0;Ла09ша50
Масло;Топленое масло;16.04.2022;271.0;23.0;То16ло40
Масло;Подсолнечное масло;27.03.2022;212.0;18.0;По27ло30
Напитки;Напитки для здоровья;13.06.2022;102.0;9.0;На13ья60
Яйца, мясо и рыба;Яйца;23.01.2022;159.0;14.0;Яй23ца10
Напитки;Безалкогольные напитки;23.05.2022;117.0;10.0;Бе23ки50
Фрукты и овощи;Органические овощи;22.03.2022;170.0;15.0;Ор22щи30
Фрукты и овощи;Свежие фрукты;16.01.2022;219.0;19.0;Св16ты10
Яйца, мясо и рыба;Курица;01.02.2022;256.0;22.0;Ку01ца20
Напитки;Напитки для здоровья;25.06.2022;83.0;7.0;На25ья60
Напитки;Прохладительные напитки;10.04.2022;234.0;20.0;Пр10ки40
Закуски;Печенье;05.03.2022;128.0;11.0;Пе05ье30
Закуски;Печенье;11.06.2022;289.0;25.0;Пе11ье60
Хлебобулочные изделия;Печенье;18.06.2022;208.0;18.0;Пе18ье60
Яйца, мясо и рыба;Яйца;29.03.2022;178.0;15.0;Яй29ца30
Фрукты и овощи;Органические овощи;01.02.2022;177.0;15.0;Ор01щи20
Закуски;Лапша;17.05.2022;186.0;16.0;Ла17ша50
Закуски;Лапша;31.01.2022;91.0;8.0;Ла31ша10
Хлебобулочные изделия;Торты;12.02.2022;158.0;14.0;То12ты20
Напитки;Безалкогольные напитки;18.05.2022;113.0;10.0;Бе18ки50
Напитки;Прохладительные напитки;28.03.2022;289.0;25.0;Пр28ки30
Хлебобулочные изделия;Торты;22.03.2022;178.0;15.0;То22ты30
Фрукты и овощи;Свежие овощи;23.01.2022;79.0;7.0;Св23щи10
Фрукты и овощи;Органические фрукты;04.02.2022;95.0;8.0;Ор04ты20
Пищевые злаки;Мука;05.01.2022;294.0;25.0;Му05ка10
Яйца, мясо и рыба;Рыба;27.04.2022;148.0;13.0;Ры27ба40
Пищевые злаки;Крупа;21.01.2022;203.0;17.0;Кр21па10
Яйца, мясо и рыба;Баранина;30.03.2022;165.0;14.0;Ба30на30
Напитки;Напитки для здоровья;27.04.2022;266.0;23.0;На27ья40
Масло;Подсолнечное масло;26.02.2022;179.0;15.0;По26ло20
Закуски;Лапша;09.06.2022;89.0;8.0;Ла09ша60
Яйца, мясо и рыба;Рыба;13.05.2022;116.0;10.0;Ры13ба50
Фрукты и овощи;Свежие фрукты;29.04.2022;218.0;19.0;Св29ты40
Яйца, мясо и рыба;Яйца;18.03.2022;76.0;7.0;Яй18ца30
Яйца, мясо и рыба;Баранина;04.06.2022;228.0;19.0;Ба04на60
Злаки;Мука;26.04.2022;171.0;15.0;Му26ка40
Фрукты и овощи;Свежие овощи;10.06.2022;145.0;13.0;Св10щи60
Пищевые злаки;Мука;27.04.2022;162.0;14.0;Му27ка40
Масло;Подсолнечное масло;07.01.2022;154.0;13.0;По07ло10
Яйца, мясо и рыба;Баранина;15.01.2022;125.0;11.0;Ба15на10
Закуски;Лапша;12.06.2022;309.0;26.0;Ла12ша60
Закуски;Печенье;23.04.2022;91.0;8.0;Пе23ье40
Фрукты и овощи;Органические овощи;09.03.2022;297.0;25.0;Ор09щи30
Напитки;Прохладительные напитки;27.03.2022;246.0;21.0;Пр27ки30
Напитки;Безалкогольные напитки;15.05.2022;187.0;16.0;Бе15ки50
Фрукты и овощи;Органические фрукты;17.03.2022;157.0;14.0;Ор17ты30
Закуски;Лапша;10.06.2022;170.0;15.0;Ла10ша60
Закуски;Печенье;30.03.2022;90.0;8.0;Пе30ье30
Фрукты и овощи;Органические фрукты;10.03.2022;288.0;24.0;Ор10ты30
Напитки;Напитки для здоровья;14.02.2022;254.0;22.0;На14ья20
Пищевые злаки;Мука;02.01.2022;218.0;19.0;Му02ка10
Масло;Специи;05.03.2022;124.0;11.0;Сп05ии30
Напитки;Прохладительные напитки;28.03.2022;295.0;25.0;Пр28ки30
Фрукты и овощи;Органические фрукты;28.04.2022;131.0;11.0;Ор28ты40
Масло;Специи;10.06.2022;267.0;23.0;Сп10ии60
Пищевые злаки;Рис;13.06.2022;220.0;19.0;Ри13ис60
Яйца, мясо и рыба;Яйца;31.03.2022;208.0;18.0;Яй31ца30
Выпечка;Хлеб и булочки;25.05.2022;264.0;22.0;Хл25ки50
Пищевые злаки;Крупа;08.03.2022;235.0;20.0;Кр08па30
Яйца, мясо и рыба;Курица;13.06.2022;97.0;9.0;Ку13ца60
Напитки;Напитки для здоровья;01.06.2022;156.0;13.0;На01ья60
Пищевые злаки;Мука;03.05.2022;266.0;23.0;Му03ка50
Фрукты и овощи;Свежие фрукты;11.04.2022;283.0;24.0;Св11ты40
Закуски;Шоколадные конфеты;31.01.2022;161.0;14.0;Шо31ты10
Яйца, мясо и рыба;Рыба;30.04.2022;154.0;13.0;Ры30ба40
Пищевые злаки;Мука;28.06.2022;232.0;20.0;Му28ка60
Фрукты и овощи;Свежие фрукты;20.06.2022;69.0;6.0;Св20ты60
Закуски;Шоколадные конфеты;27.01.2022;288.0;24.0;Шо27ты10
Масло;Специи;06.05.2022;185.0;16.0;Сп06ии50
